,target-var,in-sample-accuracy,out-of-sample-accuracy,sma,rsi
219,10,0.8357723577235773,0.8465286236297198,6,14
220,11,0.8276422764227642,0.853836784409257,6,14
221,12,0.7520325203252033,0.7539585870889159,6,14
222,13,0.5707317073170731,0.5529841656516443,6,14
223,14,0.9512195121951219,0.9585870889159561,6,14
224,15,0.7878048780487805,0.758830694275274,6,14
225,16,0.6796747967479675,0.6857490864799025,6,14
226,17,0.9227642276422764,0.904993909866017,6,14
227,18,0.5747967479674797,0.561510353227771,6,14
228,19,0.5203252032520326,0.5286236297198539,6,14
229,20,0.5756097560975609,0.582216808769793,6,14
230,21,0.6658536585365854,0.6467722289890377,6,14
231,22,0.7658536585365854,0.7637028014616322,6,14
232,23,0.5756097560975609,0.582216808769793,6,14
233,24,0.5756097560975609,0.582216808769793,6,14
234,25,0.5756097560975609,0.582216808769793,6,14
235,26,0.5756097560975609,0.582216808769793,6,14
236,27,0.5682926829268292,0.5749086479902558,6,14
237,28,0.5682926829268292,0.5749086479902558,6,14
238,29,0.5682926829268292,0.5749086479902558,6,14
239,30,0.5682926829268292,0.5749086479902558,6,14
240,1,0.5522022838499184,0.511002444987775,6,21
241,2,0.5595432300163132,0.519559902200489,6,21
242,3,0.8450244698205547,0.8276283618581907,6,21
243,4,0.7699836867862969,0.784841075794621,6,21
244,5,0.5791190864600326,0.5537897310513448,6,21
245,6,0.5513866231647635,0.5635696821515892,6,21
246,7,0.5464926590538336,0.5342298288508558,6,21
247,8,0.598694942903752,0.5733496332518337,6,21
248,9,0.731647634584013,0.7334963325183375,6,21
249,10,0.8466557911908646,0.8312958435207825,6,21
250,11,0.8450244698205547,0.8276283618581907,6,21
251,12,0.7593800978792822,0.7396088019559902,6,21
252,13,0.5513866231647635,0.5635696821515892,6,21
253,14,0.9616639477977161,0.9425427872860636,6,21
254,15,0.7699836867862969,0.784841075794621,6,21
255,16,0.6810766721044046,0.676039119804401,6,21
256,17,0.9086460032626428,0.9266503667481663,6,21
257,18,0.5791190864600326,0.5537897310513448,6,21
258,19,0.5522022838499184,0.511002444987775,6,21
259,20,0.5725938009787929,0.5880195599022005,6,21
260,21,0.6623164763458401,0.6503667481662592,6,21
261,22,0.7805872756933115,0.7420537897310513,6,21
262,23,0.5880913539967374,0.5562347188264058,6,21
263,24,0.5880913539967374,0.5562347188264058,6,21
264,25,0.5880913539967374,0.5562347188264058,6,21
265,26,0.5880913539967374,0.5562347188264058,6,21
266,27,0.5880913539967374,0.5574572127139364,6,21
267,28,0.5880913539967374,0.5574572127139364,6,21
268,29,0.5880913539967374,0.5574572127139364,6,21
269,30,0.5880913539967374,0.5574572127139364,6,21
